id,name,type,city,state,address,pin_code,contact_person,phone,latitude,longitude,active,coord_validation_status,drop_reason
AW-0006,"Aurora, Gala and Sidhu Additional Warehouse (AW-0006)",Additional Warehouse,Kolkata,West Bengal,"H.No. 30, Mohanty Ganj, Aligarh-971790",835938,Zarna Agate,1288405103,22.580798,88.318619,True,OK,
AW-0007,"Edwin, Nair and Rattan Additional Warehouse (AW-0007)",Additional Warehouse,Indore,Madhya Pradesh,"H.No. 707, Choudhary Street, Panipat-613208",808886,Lajita Dara,5860803146,22.706836,75.848015,True,OK,
AW-0008,"Upadhyay, Ganguly and Varty Additional Warehouse (AW-0008)",Additional Warehouse,Nagpur,Maharashtra,"37/025, Choudhry Road, Ambattur 745411",663368,Ira Chauhan,1216482732,21.20233,79.123331,True,OK,
AW-0010,"Agate, Varty and Tata Additional Warehouse (AW-0010)",Additional Warehouse,Mangaluru,Karnataka,"98, Khalsa Street, Madurai-665895",162560,Warhi Padmanabhan,4853053305,12.917647,74.831661,True,OK,
AW-0011,Sahota Ltd Additional Warehouse (AW-0011),Additional Warehouse,Ahmedabad,Gujarat,"60/362, Gara Path, Berhampore-212488",595821,Samarth Varma,1986268274,23.004093,72.493728,True,OK,
AW-0012,Patel-Dey Additional Warehouse (AW-0012),Additional Warehouse,Bengaluru,Karnataka,"H.No. 75, Atwal Chowk, Maheshtala 101074",232579,Niharika Gera,8588709708,12.924138,77.588397,True,OK,
AW-0014,Chaudhari-Sant Additional Warehouse (AW-0014),Additional Warehouse,Kolkata,West Bengal,"21/13, Sanghvi Nagar, Kadapa 480130",889796,Wazir Palla,914586086915,22.61853,88.332091,True,OK,
AW-0015,Chopra Group Additional Warehouse (AW-0015),Additional Warehouse,Kolkata,West Bengal,"H.No. 079, Thaker Chowk, Mau-534046",947567,Bhavya Char,918014982649,22.606574,88.319997,True,OK,
AW-0016,Kata-Pandit Additional Warehouse (AW-0016),Additional Warehouse,Delhi,Delhi,"67/17, Mukherjee Circle, Mysore-718375",384803,Gaurang Palan,919861253550,28.584196,77.232079,True,OK,
AW-0017,Kakar-Sood Additional Warehouse (AW-0017),Additional Warehouse,Delhi,Delhi,"327, Gopal Chowk, Bally 867995",201102,Jeevika Behl,3796567859,28.636915,77.174139,True,OK,
AW-0018,Bakshi LLC Additional Warehouse (AW-0018),Additional Warehouse,Visakhapatnam,Andhra Pradesh,"728, Pall Road, Bhilwara 160293",448945,Jeremiah Muni,576477795,17.70687,83.146656,True,OK,
AW-0019,"Oak, Mishra and Wagle Additional Warehouse (AW-0019)",Additional Warehouse,Kolkata,West Bengal,"29, Rajagopal Chowk, Nashik-150832",221044,Gagan Sanghvi,8241895725,22.639838,88.378437,True,OK,
AW-0020,"Dora, Pall and Parekh Additional Warehouse (AW-0020)",Additional Warehouse,Kolkata,West Bengal,"20, Minhas Zila, Udupi 571855",64688,Farhan Lal,913643433286,22.562785,88.32521,True,OK,
AW-0021,Ben Ltd Additional Warehouse (AW-0021),Additional Warehouse,Varanasi,Uttar Pradesh,"H.No. 906, Nadkarni Circle, Gaya 665749",833441,Bhavani Chaudhuri,885541634,25.362878,82.952781,True,OK,
AW-0022,Sachdeva-Bhasin Additional Warehouse (AW-0022),Additional Warehouse,Mumbai,Maharashtra,"73/35, Badal, Kishanganj-135196",583678,Gautami Jayaraman,4078945520,19.041339,72.889454,True,OK,
AW-0023,Babu Group Additional Warehouse (AW-0023),Additional Warehouse,Kolkata,West Bengal,"68/543, Thaker Marg, Asansol 086840",529302,Xavier Baria,8572225739,22.599861,88.340738,True,OK,
AW-0025,Bhattacharyya-Nadig Additional Warehouse (AW-0025),Additional Warehouse,Bengaluru,Karnataka,"67/303, Hans Nagar, Nizamabad 955491",733020,Isaac Gera,912979488681,12.991028,77.531405,True,OK,
AW-0026,Lall-Kanda Additional Warehouse (AW-0026),Additional Warehouse,Surat,Gujarat,"116, Mane Circle, Hyderabad-481559",133085,Megha Gole,912475661218,21.208153,72.846266,True,OK,
AW-0028,Saha Group Additional Warehouse (AW-0028),Additional Warehouse,Bengaluru,Karnataka,"201, Goswami Ganj, Panipat-271753",414142,Vasudha Chhabra,2874719400,12.999536,77.573665,True,OK,
AW-0029,Agarwal-Dhaliwal Additional Warehouse (AW-0029),Additional Warehouse,Chennai,Tamil Nadu,"H.No. 67, Bahri Circle, Begusarai-783873",538128,Netra Patla,1777808378,13.030644,80.216274,True,OK,
AW-0030,"Wali, Mohan and Thakur Additional Warehouse (AW-0030)",Additional Warehouse,Bhopal,Madhya Pradesh,"H.No. 067, Nagar Marg, Amaravati 128785",538692,Aayush Sethi,4791645117,23.246315,77.478038,True,OK,
AW-0031,"Rajagopalan, Vala and Wali Additional Warehouse (AW-0031)",Additional Warehouse,Bengaluru,Karnataka,"H.No. 197, Edwin Ganj, Kirari Suleman Nagar-513338",133762,Netra Pandey,4212473465,12.971488,77.643046,True,OK,
AW-0032,"Toor, Aurora and Goyal Additional Warehouse (AW-0032)",Additional Warehouse,Ahmedabad,Gujarat,"176, Wable Street, Khammam-434484",804655,Nathaniel Bhalla,918314849102,23.049337,72.641869,True,OK,
AW-0033,Kumer-Patel Additional Warehouse (AW-0033),Additional Warehouse,Nagpur,Maharashtra,"745, Chakrabarti Street, Guna-448386",848052,Janaki Goswami,6013842676,21.174155,79.134764,True,OK,
AW-0034,Wadhwa Ltd Additional Warehouse (AW-0034),Additional Warehouse,Visakhapatnam,Andhra Pradesh,"H.No. 856, Narula Marg, Purnia-410054",804239,Theodore Grewal,912742332039,17.63073,83.162207,True,OK,
AW-0035,"Pradhan, Sunder and Solanki Additional Warehouse (AW-0035)",Additional Warehouse,Chennai,Tamil Nadu,"549, Chawla Ganj, Panvel-027546",480108,Triveni Khosla,2369816776,13.109539,80.21658,True,OK,
AW-0036,"Wadhwa, Wali and Loke Additional Warehouse (AW-0036)",Additional Warehouse,Mangaluru,Karnataka,"02, Chatterjee Circle, Naihati 953557",804445,Riya Sarraf,5597338842,12.917333,74.925522,True,OK,
AW-0037,Ganesan-Varma Additional Warehouse (AW-0037),Additional Warehouse,Chennai,Tamil Nadu,"79/81, Dhingra, Haridwar-982983",722320,Agastya Agrawal,4546793334,13.117238,80.213558,True,OK,
AW-0038,"Toor, Mall and Krishna Additional Warehouse (AW-0038)",Additional Warehouse,Lucknow,Uttar Pradesh,"22, Nagarajan Marg, Jabalpur-673702",813708,Edhitha Buch,7694795814,26.873106,80.914889,True,OK,
AW-0039,"Dhaliwal, Bail and Baral Additional Warehouse (AW-0039)",Additional Warehouse,Varanasi,Uttar Pradesh,"H.No. 63, Sharma Circle, Jaunpur 929431",560749,Faqid Ramachandran,2979152907,25.306161,83.014942,True,OK,
AW-0040,Pandit and Sons Additional Warehouse (AW-0040),Additional Warehouse,Mumbai,Maharashtra,"89/247, Rau Street, Dhanbad-174716",559346,Rajata Shroff,8333655884,19.07373,72.866514,True,OK,
AW-0041,Shah-Narayan Additional Warehouse (AW-0041),Additional Warehouse,Mumbai,Maharashtra,"H.No. 836, Raju Ganj, Cuttack 861748",584744,Chatura Guha,4561689941,19.099033,72.891211,True,OK,
AW-0042,Chokshi-Lal Additional Warehouse (AW-0042),Additional Warehouse,Visakhapatnam,Andhra Pradesh,"12/47, Hegde Circle, Darbhanga 480012",330783,Suhani Palla,914444085321,17.620167,83.18799,True,OK,
AW-0043,Gill-Hans Additional Warehouse (AW-0043),Additional Warehouse,Mumbai,Maharashtra,"H.No. 83, Shan Street, Hajipur 249932",457688,Jyoti Comar,7901548237,19.021772,72.892525,True,OK,
AW-0044,"Bhasin, Dhawan and Sahni Additional Warehouse (AW-0044)",Additional Warehouse,Delhi,Delhi,"H.No. 31, Badami Road, Bardhaman 690712",581805,Darika Nanda,911768590129,28.637591,77.131706,True,OK,
AW-0045,Chana-Narang Additional Warehouse (AW-0045),Additional Warehouse,Indore,Madhya Pradesh,"374, Sethi Ganj, Lucknow 103660",795944,Vrinda Varghese,6108595109,22.68691,75.869463,True,OK,
AW-0046,"Lalla, Rout and Sehgal Additional Warehouse (AW-0046)",Additional Warehouse,Chandigarh,Punjab,"51/950, Venkataraman Circle, Karimnagar 343666",517291,Balveer Purohit,7632480360,30.773476,76.797942,True,OK,
AW-0047,Prasad-Lalla Additional Warehouse (AW-0047),Additional Warehouse,Mumbai,Maharashtra,"529, Edwin Zila, Varanasi-753473",758037,Balendra Tak,912394494502,19.122067,72.91715,True,OK,
AW-0048,Dass-Edwin Additional Warehouse (AW-0048),Additional Warehouse,Nagpur,Maharashtra,"H.No. 353, Dasgupta Street, Ongole 067007",995092,Qushi Dhawan,66636570,21.211921,79.037273,True,OK,
AW-0049,Grewal Inc Additional Warehouse (AW-0049),Additional Warehouse,Mumbai,Maharashtra,"H.No. 986, Borde Ganj, Aurangabad 132037",83160,Abhimanyu Kumar,919426298177,19.108483,72.941704,True,OK,
AW-0050,"Murthy, Buch and Chhabra Additional Warehouse (AW-0050)",Additional Warehouse,Chandigarh,Chandigarh,"H.No. 160, Bir Marg, Bhiwandi-545940",367438,Brinda Vasa,915420795501,30.729355,76.812226,True,CORRECTED,
AW-0051,Sinha Ltd Additional Warehouse (AW-0051),Additional Warehouse,Lucknow,Uttar Pradesh,"16/804, Dube Zila, Dharmavaram-510913",751898,Rajeshri Garde,6001671870,26.789398,81.00008,False,OK,
AW-0052,Grover-Joshi Additional Warehouse (AW-0052),Additional Warehouse,Hyderabad,Telangana,"41, Sandal Road, Panipat-089345",512814,Anmol Mand,5713188293,17.387054,78.47204,True,OK,
AW-0053,Pau PLC Additional Warehouse (AW-0053),Additional Warehouse,Chennai,Tamil Nadu,"953, Soni Street, Srinagar-035764",204698,Fiyaz Gara,6181749236,13.077085,80.272919,True,OK,
AW-0055,Taneja Inc Additional Warehouse (AW-0055),Additional Warehouse,Kolkata,West Bengal,"675, Gole Road, Jalandhar 650266",901181,Eiravati Hayer,912623195134,22.555392,88.356279,True,OK,
RO-0001,"Kaul, Sehgal and Banerjee Retail Office (RO-0001)",Retail Office,Lucknow,Uttar Pradesh,"H.No. 93, Rout Path, Vellore 953666",532394,Sanya Konda,7384991605,26.895166,80.901713,True,OK,
RO-0002,Anand-Dey Retail Office (RO-0002),Retail Office,Mangaluru,Karnataka,"H.No. 226, Pillai Street, Nellore 665712",223298,Barkha Jaggi,8894580134,12.903616,74.908761,True,OK,
RO-0003,"Batra, Brar and Aurora Retail Office (RO-0003)",Retail Office,Patna,Bihar,"56/955, Ramakrishnan Nagar, Ghaziabad 580310",692516,Michael Gole,5204901989,25.657291,85.115814,True,OK,
RO-0004,"Gokhale, Wable and Narayan Retail Office (RO-0004)",Retail Office,Lucknow,Uttar Pradesh,"H.No. 350, Tara Street, Ramgarh-579155",709736,Naveen Deo,6553018806,26.870807,80.929258,True,OK,
RO-0005,Bora PLC Retail Office (RO-0005),Retail Office,Lucknow,Uttar Pradesh,"H.No. 07, Banerjee Street, Surat-133562",295491,Lipika Puri,1852571846,26.791112,80.929006,True,OK,
RO-0006,Bhatia-Mannan Retail Office (RO-0006),Retail Office,Varanasi,Uttar Pradesh,"00/494, Dhar Path, Bhubaneswar 832029",412870,Fiyaz Bora,9605177471,25.351801,83.035576,True,OK,
RO-0007,Tiwari Ltd Retail Office (RO-0007),Retail Office,Hyderabad,Telangana,"H.No. 671, Minhas Circle, Ambattur-881160",338689,Gayathri Agate,918479496226,17.341625,78.440727,True,OK,
RO-0008,"Aggarwal, Lal and Sehgal Retail Office (RO-0008)",Retail Office,Hyderabad,Telangana,"013, Swaminathan Marg, Surendranagar Dudhrej 516840",490378,Ekantika Khurana,3018222254,17.346495,78.474627,True,OK,
RO-0009,Misra-Gokhale Retail Office (RO-0009),Retail Office,Bhopal,Madhya Pradesh,"57, Khare Circle, Bhimavaram 059626",213370,Vihaan Kala,7429185389,23.297338,77.426693,True,OK,
RO-0010,"Konda, Prashad and Brar Retail Office (RO-0010)",Retail Office,Patna,Bihar,"782, Malhotra Chowk, Dhule 682353",187303,Amol Bains,1466045387,25.657888,85.114001,True,OK,
RO-0011,Sur-Suresh Retail Office (RO-0011),Retail Office,Amritsar,Punjab,"691, Wable Road, Vadodara-236627",547645,Priya Kar,8921610239,31.704274,74.873932,True,OK,
RO-0012,Bail Inc Retail Office (RO-0012),Retail Office,Kolkata,West Bengal,"56/890, Parikh Marg, Nanded-488315",824784,Vaishnavi Ratta,4834553992,22.517541,88.361336,True,OK,
RO-0013,Bhatnagar-Ranganathan Retail Office (RO-0013),Retail Office,Vadodara,Gujarat,"H.No. 00, Datta Road, Karimnagar-437952",259344,Baljiwan Bhasin,5004198412,22.239212,73.21805,True,OK,
RO-0014,Vohra-Choudhry Retail Office (RO-0014),Retail Office,Kolkata,West Bengal,"H.No. 625, Keer Path, Eluru 768795",728771,Ayaan Sami,915023896219,22.503784,88.312906,True,OK,
RO-0016,"Pai, Dhillon and Dugal Retail Office (RO-0016)",Retail Office,Jaipur,Rajasthan,"64, Wagle Nagar, Bathinda 249197",196166,Gayathri Kala,6304710346,26.914876,75.785737,True,OK,
RO-0017,Rege and Sons Retail Office (RO-0017),Retail Office,Chennai,Tamil Nadu,"23/91, Chander Road, Barasat 006865",925091,Dalaja Aurora,915221970257,13.081697,80.27071,True,OK,
RO-0018,"Kaur, Karan and Chaudry Retail Office (RO-0018)",Retail Office,Patna,Bihar,"96/41, Andra, Jorhat-669968",296425,Urmi Devi,7961617229,25.599842,85.059911,True,OK,
RO-0019,Badal LLC Retail Office (RO-0019),Retail Office,Mangaluru,Karnataka,"70, Murty Chowk, Parbhani-502541",252511,Zehaan Randhawa,512228891,12.968793,74.799676,True,OK,
RO-0020,"Saraf, Ratti and Patla Retail Office (RO-0020)",Retail Office,Chandigarh,Punjab,"36/64, Sachar Path, Jamalpur 866860",689895,Samarth Sarin,6088860880,30.72472,76.701186,True,OK,
RO-0021,"Pathak, Sagar and Kapadia Retail Office (RO-0021)",Retail Office,Jaipur,Rajasthan,"19, Butala Circle, Chapra-582501",335452,Samarth Halder,915625401628,26.952271,75.849187,True,OK,
RO-0022,Tak and Sons Retail Office (RO-0022),Retail Office,Hyderabad,Telangana,"66/831, Arya Nagar, Berhampore-523041",574022,Zilmil Sangha,713668575,17.357967,78.469246,True,OK,
RO-0023,"Sampath, Comar and Jayaraman Retail Office (RO-0023)",Retail Office,Ahmedabad,Gujarat,"586, Balan Path, Motihari-684369",53427,Chaman Sibal,1980596924,23.020638,72.579424,True,OK,
RO-0024,Saran-Agate Retail Office (RO-0024),Retail Office,Kolkata,West Bengal,"01/016, D’Alia Chowk, Parbhani-190815",296684,Ganga Goda,4278736793,22.580974,88.309349,True,OK,
RO-0025,Shukla Group Retail Office (RO-0025),Retail Office,Bengaluru,Karnataka,"H.No. 325, Deol Street, Kirari Suleman Nagar-020124",574671,Azad Balay,2520229153,12.984124,77.575924,True,OK,
RO-0026,Bir Inc Retail Office (RO-0026),Retail Office,Bhopal,Madhya Pradesh,"79/89, Srivastava Path, Dhanbad-851101",534504,Raghav Doctor,915326821988,23.227928,77.34319,True,OK,
RO-0027,"Desai, Verma and Gola Retail Office (RO-0027)",Retail Office,Delhi,Delhi,"H.No. 019, Rajagopal, Ramgarh 287790",515650,Oni Vora,2819640030,28.593744,77.259828,True,OK,
RO-0028,Borra Ltd Retail Office (RO-0028),Retail Office,Bhopal,Madhya Pradesh,"11/994, Tank Nagar, Siliguri 543931",973564,Om Chana,914520926274,23.27704,77.393263,True,OK,
RO-0030,Mammen-Dada Retail Office (RO-0030),Retail Office,Bengaluru,Karnataka,"682, Kapoor, Allahabad 738113",855258,Yachana Gara,9354947791,12.943915,77.532605,True,OK,
RO-0031,Panchal-Dalal Retail Office (RO-0031),Retail Office,Guwahati,Assam,"70/002, Seshadri Circle, Bettiah 050175",182750,Ranveer Parmar,5126317893,26.088428,91.682976,True,OK,
RO-0032,Shankar-Rau Retail Office (RO-0032),Retail Office,Mumbai,Maharashtra,"H.No. 876, Bajwa, Buxar 472899",326017,Jasmit Mitter,4862025328,19.098741,72.865176,True,OK,
RO-0033,"Dutt, Sachar and Khatri Retail Office (RO-0033)",Retail Office,Hyderabad,Telangana,"02, Palla Road, Miryalaguda 783390",174931,Amol Samra,917733404861,17.315869,78.481423,True,OK,
RO-0034,Kapur Group Retail Office (RO-0034),Retail Office,Chennai,Tamil Nadu,"417, Uppal Zila, Kurnool-912586",838033,Chaman Merchant,912614056051,13.092141,80.243721,True,OK,
RO-0035,Agate Inc Retail Office (RO-0035),Retail Office,Kolkata,West Bengal,"286, Goswami Path, Bhopal-783282",945372,Hitesh Bahri,6511870669,22.599512,88.317092,True,OK,
RO-0036,Kanda-Mohan Retail Office (RO-0036),Retail Office,Coimbatore,Tamil Nadu,"20/598, Walla Marg, Guna 309748",968199,Atharv Gokhale,913597297206,11.041128,76.917044,True,OK,
RO-0037,Chandra PLC Retail Office (RO-0037),Retail Office,Varanasi,Uttar Pradesh,"H.No. 21, Sarma Path, Kota-984179",874085,Elijah Sandhu,7685156249,25.27401,82.994598,False,OK,
RO-0038,"Johal, Mand and Brar Retail Office (RO-0038)",Retail Office,Mumbai,Maharashtra,"28/961, Thakur Street, Chinsurah-278008",220312,Lucky Karpe,911435873057,19.126499,72.833392,True,OK,
RO-0040,Oza-Menon Retail Office (RO-0040),Retail Office,Amritsar,Punjab,"H.No. 96, Mishra, Haldia-190852",295430,Upma Oza,919273582669,31.665381,74.885238,True,OK,
RO-0041,Dugar Inc Retail Office (RO-0041),Retail Office,Bengaluru,Karnataka,"28, Dada Circle, Kota-794811",867859,Hritik Shankar,913728684173,12.980575,77.598595,True,OK,
RO-0043,"Nath, Munshi and Shukla Retail Office (RO-0043)",Retail Office,Chennai,Tamil Nadu,"84, Kapoor Road, Delhi 305456",302252,Advay Halder,7871437455,13.105561,80.242379,True,OK,
RO-0044,"Agarwal, Suri and Jhaveri Retail Office (RO-0044)",Retail Office,Bengaluru,Karnataka,"55/53, Varughese Zila, Khandwa 883258",39127,Harish Merchant,3376087034,12.973215,77.619377,True,OK,
RO-0045,"Kant, Ravel and Bali Retail Office (RO-0045)",Retail Office,Bhubaneswar,Orissa,"H.No. 442, Mane Zila, Karawal Nagar 589508",256264,Zashil Ratta,640858171,20.314428,85.826493,True,CORRECTED,
RO-0046,Pandya-Kunda Retail Office (RO-0046),Retail Office,Kolkata,West Bengal,"H.No. 75, Barad Street, Singrauli 904419",355579,Aadhya Sachar,2983251214,22.595179,88.413563,True,OK,
RO-0047,Dar PLC Retail Office (RO-0047),Retail Office,Bengaluru,Karnataka,"66/333, Deo Road, Kanpur-812791",535929,Upasna Tripathi,6384789508,12.990881,77.639697,True,OK,
RO-0048,Kanda PLC Retail Office (RO-0048),Retail Office,Visakhapatnam,Andhra Pradesh,"H.No. 23, Barad, Kharagpur 042545",897003,Azad Venkataraman,8773621573,17.74865,83.252286,True,OK,
RO-0049,Chokshi-Chana Retail Office (RO-0049),Retail Office,Delhi,Delhi,"19/806, Memon, Tezpur-470654",881644,Azad Shan,9754055686,28.607593,77.16637,True,OK,
RO-0050,Sankaran-Sidhu Retail Office (RO-0050),Retail Office,Bhopal,Madhya Pradesh,"H.No. 44, Yohannan, Nangloi Jat 313588",566721,Jhalak Om,914495556911,23.308603,77.39792,True,OK,
RO-0052,Kari-Ahluwalia Retail Office (RO-0052),Retail Office,Bengaluru,Karnataka,"H.No. 186, Dutt Nagar, Vasai-Virar 431392",317584,Lipika Hayer,5779836666,12.922075,77.621639,True,OK,
RO-0053,Bahri-Naidu Retail Office (RO-0053),Retail Office,Bengaluru,Karnataka,"481, Virk Road, Kolkata-271356",416225,Dev Ghose,2295305846,12.920544,77.524139,True,OK,
RO-0055,Ramaswamy-Mane Retail Office (RO-0055),Retail Office,Visakhapatnam,Andhra Pradesh,"H.No. 15, Ahuja Circle, Chapra 820552",845484,Dalaja Morar,7117567693,17.643044,83.183612,True,OK,
RO-0056,"Prasad, Sabharwal and Rao Retail Office (RO-0056)",Retail Office,Patna,Bihar,"08, Bhalla Marg, Ballia 873514",706820,Vedika Narain,1524225186,25.561967,85.145104,True,OK,
RO-0057,Kapur-Hora Retail Office (RO-0057),Retail Office,Mumbai,Maharashtra,"16, Shroff, Narasaraopet-818162",138608,Pallavi Nadig,4595094698,19.108068,72.920046,True,OK,
RO-0058,"Saha, Kala and Srivastava Retail Office (RO-0058)",Retail Office,Bhubaneswar,Orissa,"66/46, Pandey Street, Chandrapur 025743",188951,Hemal Kari,4609804871,20.269175,85.792952,True,CORRECTED,
RO-0059,"Yadav, Chahal and Vyas Retail Office (RO-0059)",Retail Office,Amritsar,Punjab,"54, Wali Marg, Junagadh-823375",138009,Zashil Ratti,3986770620,31.691193,74.901064,True,OK,
RO-0060,Dhawan-Viswanathan Retail Office (RO-0060),Retail Office,Hyderabad,Telangana,"91/93, Trivedi Zila, Hyderabad-776206",449143,Advik Gara,9576508863,17.433982,78.53777,True,OK,
RO-0061,"Pandit, Cherian and Wali Retail Office (RO-0061)",Retail Office,Ahmedabad,Gujarat,"76/272, Patla, Deoghar-320151",89714,Omisha Narain,5989182668,23.022036,72.511586,True,OK,
RO-0062,"Kurian, Kulkarni and Dora Retail Office (RO-0062)",Retail Office,Ahmedabad,Gujarat,"89/649, Reddy Chowk, Rewa 814973",664755,Wahab Pradhan,918806754263,23.061656,72.574956,True,OK,
