dealer_id,sale_date,parts_category,units_sold,revenue_inr
DLR-0005,2021-03-13,Transmission,472,543699.09
DLR-0005,2020-04-30,Electrical,204,260311.02
DLR-0005,2020-01-05,Transmission,145,499045.12
DLR-0005,2024-05-24,Cooling System,156,517748.52
DLR-0005,2022-05-16,Cooling System,89,407453.46
DLR-0005,2021-01-23,Body Parts,121,561291.43
DLR-0005,2020-04-29,Engine Parts,392,696972.21
DLR-0005,2021-10-04,Engine Parts,35,1052684.62
DLR-0005,2023-04-11,Cooling System,267,641898.68
DLR-0005,2024-10-12,Electrical,39,661812.09
DLR-0005,2022-11-06,Brakes,445,582132.98
DLR-0005,2021-01-15,Brakes,314,139494.91
DLR-0005,2020-05-19,Suspension,216,593636.67
DLR-0005,2020-09-02,Suspension,306,614455.25
DLR-0005,2023-05-02,Engine Parts,327,1191178.11
DLR-0005,2020-06-16,Transmission,346,553833.37
DLR-0005,2023-04-10,Filters & Fluids,488,672371.36
DLR-0005,2021-06-18,Suspension,352,591669.18
DLR-0006,2021-05-03,Body Parts,212,259607.78
DLR-0006,2020-09-25,Body Parts,244,710350.45
DLR-0006,2021-10-09,Brakes,14,634126.94
DLR-0006,2022-07-27,Brakes,47,641751.23
DLR-0006,2023-01-06,Suspension,269,310169.45
DLR-0006,2021-06-27,Electrical,487,761044.89
DLR-0006,2021-12-15,Brakes,460,214139.04
DLR-0006,2021-05-15,Filters & Fluids,155,601937.13
DLR-0006,2020-11-19,Cooling System,436,914638.85
DLR-0006,2023-01-17,Body Parts,323,294345.42
DLR-0006,2024-07-10,Engine Parts,351,377071.94
DLR-0006,2024-07-31,Body Parts,487,506932.02
DLR-0006,2023-09-20,Brakes,490,389322.25
DLR-0006,2024-12-03,Electrical,145,185120.63
DLR-0006,2020-08-24,Brakes,390,500869.78
DLR-0006,2023-02-07,Electrical,149,280350.78
DLR-0006,2021-07-31,Suspension,377,579850.52
DLR-0006,2021-12-03,Suspension,361,308212.27
DLR-0006,2023-07-22,Body Parts,268,789737.21
DLR-0006,2022-09-27,Body Parts,473,334765.61
DLR-0006,2024-09-28,Engine Parts,57,424698.0
DLR-0006,2023-07-23,Transmission,434,646135.86
DLR-0006,2021-07-20,Engine Parts,11,247481.46
DLR-0006,2021-11-14,Electrical,336,531854.69
DLR-0006,2021-06-20,Electrical,389,742392.84
DLR-0007,2023-02-03,Transmission,297,535510.06
DLR-0007,2020-01-20,Brakes,48,1500000.0
DLR-0007,2024-12-13,Electrical,289,1500000.0
DLR-0007,2020-03-14,Filters & Fluids,308,1500000.0
DLR-0007,2023-02-05,Electrical,230,757829.57
DLR-0007,2020-09-18,Engine Parts,167,707726.03
DLR-0007,2022-01-16,Engine Parts,470,1500000.0
DLR-0007,2022-01-02,Suspension,359,1500000.0
DLR-0007,2021-05-26,Brakes,191,1500000.0
DLR-0007,2024-05-16,Transmission,327,1500000.0
DLR-0007,2024-03-14,Electrical,483,1091985.17
DLR-0007,2021-04-29,Electrical,419,1500000.0
DLR-0007,2024-07-18,Electrical,461,1500000.0
DLR-0007,2022-04-24,Engine Parts,101,1071389.15
DLR-0007,2024-02-17,Filters & Fluids,410,1500000.0
DLR-0007,2022-04-23,Suspension,146,1500000.0
DLR-0007,2020-11-22,Brakes,205,785217.9
DLR-0007,2024-11-21,Engine Parts,449,1500000.0
DLR-0007,2022-08-21,Suspension,112,915191.0
DLR-0007,2024-07-30,Cooling System,189,1500000.0
DLR-0007,2021-09-17,Suspension,124,1500000.0
DLR-0007,2020-02-18,Suspension,214,1007590.61
DLR-0007,2021-11-03,Body Parts,452,1500000.0
DLR-0007,2020-05-22,Body Parts,189,1500000.0
DLR-0007,2023-08-06,Transmission,357,1500000.0
DLR-0007,2024-09-23,Filters & Fluids,490,1500000.0
DLR-0007,2020-02-26,Brakes,459,1352767.13
DLR-0008,2020-12-31,Body Parts,29,261939.58
DLR-0008,2020-08-10,Transmission,186,241572.84
DLR-0008,2024-02-01,Filters & Fluids,233,252628.46
DLR-0008,2023-05-26,Brakes,207,363434.74
DLR-0008,2023-03-26,Suspension,140,426172.8
DLR-0008,2020-03-31,Transmission,10,416503.62
DLR-0008,2022-11-30,Suspension,196,499077.49
DLR-0008,2022-06-02,Brakes,495,376950.28
DLR-0008,2023-09-22,Filters & Fluids,329,593030.11
DLR-0008,2021-10-04,Brakes,378,335301.48
DLR-0008,2021-09-07,Body Parts,351,783025.37
DLR-0008,2022-04-16,Filters & Fluids,216,468850.1
DLR-0008,2023-11-28,Body Parts,293,246426.37
DLR-0008,2020-09-17,Suspension,225,214366.13
DLR-0008,2023-09-23,Transmission,356,447370.86
DLR-0008,2024-03-12,Electrical,325,341480.58
DLR-0008,2023-03-11,Body Parts,217,482100.07
DLR-0008,2023-01-27,Engine Parts,165,445985.64
DLR-0008,2021-08-10,Suspension,230,364075.66
DLR-0008,2024-05-28,Filters & Fluids,248,247980.94
DLR-0008,2022-06-23,Cooling System,355,147772.92
DLR-0008,2021-03-13,Cooling System,416,308022.76
DLR-0008,2024-06-18,Electrical,347,503459.82
DLR-0008,2020-06-22,Body Parts,273,407114.06
DLR-0009,2020-07-10,Suspension,354,752556.73
DLR-0009,2021-09-27,Suspension,422,1500000.0
DLR-0009,2021-02-11,Electrical,22,1500000.0
DLR-0009,2020-04-04,Suspension,253,969685.54
DLR-0009,2023-06-05,Brakes,243,1500000.0
DLR-0009,2022-04-28,Suspension,377,1500000.0
DLR-0009,2023-11-27,Transmission,263,814217.82
DLR-0009,2022-03-29,Suspension,85,1500000.0
DLR-0009,2023-09-05,Engine Parts,467,1500000.0
DLR-0009,2024-03-17,Brakes,408,1500000.0
DLR-0009,2022-05-20,Suspension,100,1500000.0
DLR-0009,2024-07-04,Cooling System,35,673398.38
DLR-0009,2023-02-15,Suspension,479,937304.98
DLR-0009,2024-10-03,Brakes,243,1500000.0
DLR-0009,2020-09-30,Cooling System,351,1500000.0
DLR-0009,2022-12-23,Filters & Fluids,496,1500000.0
DLR-0009,2024-03-26,Cooling System,323,1500000.0
DLR-0009,2024-07-27,Transmission,435,1500000.0
DLR-0009,2023-01-27,Cooling System,469,1500000.0
DLR-0009,2020-11-21,Cooling System,240,1500000.0
DLR-0009,2021-06-14,Suspension,440,1500000.0
DLR-0009,2023-07-29,Body Parts,402,1310838.45
DLR-0009,2024-05-11,Cooling System,330,1500000.0
DLR-0009,2021-05-04,Body Parts,235,1036304.87
DLR-0009,2020-06-07,Body Parts,130,1357908.84
DLR-0010,2021-11-18,Filters & Fluids,467,1027464.59
DLR-0010,2023-01-11,Brakes,80,1316755.81
DLR-0010,2020-11-04,Suspension,206,1500000.0
DLR-0010,2023-11-22,Electrical,371,322694.75
DLR-0010,2021-03-14,Brakes,222,1500000.0
DLR-0010,2022-04-14,Filters & Fluids,287,452514.91
DLR-0010,2022-08-12,Transmission,41,1034314.75
DLR-0010,2021-02-27,Transmission,209,1500000.0
DLR-0010,2024-04-25,Engine Parts,448,1307782.81
DLR-0010,2024-12-08,Transmission,254,725350.16
DLR-0010,2020-01-13,Filters & Fluids,162,910195.11
DLR-0010,2024-03-23,Transmission,446,1500000.0
DLR-0010,2024-12-31,Transmission,285,902513.02
DLR-0010,2024-03-10,Suspension,259,1385393.88
DLR-0010,2021-03-25,Body Parts,233,1298241.64
DLR-0010,2022-09-21,Engine Parts,209,942683.82
DLR-0010,2021-11-19,Transmission,380,1500000.0
DLR-0010,2020-12-04,Cooling System,480,1500000.0
DLR-0010,2020-09-18,Engine Parts,474,242177.28
DLR-0010,2022-03-17,Engine Parts,52,1370091.7
DLR-0010,2023-08-09,Transmission,79,937488.9
DLR-0010,2024-11-10,Cooling System,103,1500000.0
DLR-0010,2020-04-12,Body Parts,204,870814.42
DLR-0010,2021-11-01,Suspension,242,1216484.41
DLR-0011,2021-11-22,Transmission,152,1500000.0
DLR-0011,2024-03-20,Transmission,139,1500000.0
DLR-0011,2024-09-05,Brakes,250,779822.16
DLR-0011,2020-02-09,Engine Parts,497,1299299.26
DLR-0011,2021-12-17,Suspension,342,1215032.81
DLR-0011,2020-05-20,Engine Parts,396,1108002.46
DLR-0011,2020-03-04,Suspension,112,1500000.0
DLR-0011,2024-09-14,Engine Parts,328,1500000.0
DLR-0011,2020-11-08,Suspension,74,743469.63
DLR-0011,2022-08-27,Brakes,298,1500000.0
DLR-0011,2021-03-22,Cooling System,368,1500000.0
DLR-0011,2021-06-08,Filters & Fluids,95,1500000.0
DLR-0011,2023-05-25,Brakes,408,588378.02
DLR-0011,2024-08-04,Electrical,169,1209459.56
DLR-0011,2020-08-09,Engine Parts,485,1500000.0
DLR-0011,2021-09-30,Transmission,213,1075398.32
DLR-0011,2024-01-04,Suspension,48,1500000.0
DLR-0011,2023-04-27,Suspension,62,1500000.0
DLR-0011,2023-11-28,Body Parts,445,943841.72
DLR-0011,2023-11-02,Brakes,417,1464284.79
DLR-0011,2023-03-05,Engine Parts,187,50000.0
DLR-0011,2022-12-27,Transmission,348,885367.42
DLR-0011,2022-01-28,Brakes,269,1348459.11
DLR-0011,2023-08-19,Filters & Fluids,16,751330.09
DLR-0011,2024-10-05,Transmission,431,1500000.0
DLR-0012,2020-08-04,Transmission,195,641915.17
DLR-0012,2023-07-25,Cooling System,372,1235973.31
DLR-0012,2020-11-09,Transmission,100,1500000.0
DLR-0012,2024-02-11,Body Parts,325,1500000.0
DLR-0012,2024-07-13,Cooling System,248,638482.71
DLR-0012,2022-06-11,Body Parts,175,1500000.0
DLR-0012,2024-10-10,Suspension,435,1500000.0
DLR-0012,2020-06-26,Body Parts,461,911094.81
DLR-0012,2022-07-12,Suspension,394,1500000.0
DLR-0012,2022-08-09,Transmission,182,1500000.0
DLR-0012,2020-02-28,Cooling System,445,1139869.87
DLR-0012,2021-10-27,Electrical,259,1500000.0
DLR-0012,2021-03-10,Filters & Fluids,418,1268811.84
DLR-0012,2021-06-13,Filters & Fluids,153,1500000.0
DLR-0012,2024-12-07,Body Parts,294,1500000.0
DLR-0012,2020-01-21,Suspension,53,1500000.0
DLR-0012,2021-05-09,Transmission,260,757310.7
DLR-0012,2023-02-11,Suspension,363,1500000.0
DLR-0012,2022-09-02,Cooling System,239,328747.32
DLR-0012,2024-06-11,Engine Parts,57,1408928.94
DLR-0012,2021-08-25,Suspension,217,1500000.0
DLR-0012,2023-11-17,Suspension,166,1500000.0
DLR-0012,2023-09-21,Filters & Fluids,252,1126380.29
DLR-0012,2023-02-07,Filters & Fluids,227,1375126.65
DLR-0012,2024-03-07,Filters & Fluids,190,1204199.44
DLR-0012,2023-12-10,Cooling System,148,1146381.15
DLR-0012,2021-09-19,Body Parts,128,1500000.0
DLR-0013,2024-01-17,Suspension,171,557118.02
DLR-0013,2020-09-01,Electrical,108,352382.63
DLR-0013,2021-03-19,Cooling System,151,662921.98
DLR-0013,2024-01-23,Body Parts,61,547423.41
DLR-0013,2024-09-01,Suspension,161,646008.11
DLR-0013,2021-04-10,Filters & Fluids,101,610277.62
DLR-0013,2021-09-11,Engine Parts,372,325845.97
DLR-0013,2022-12-29,Electrical,150,378264.7
DLR-0013,2020-04-03,Engine Parts,293,633222.25
DLR-0013,2021-08-21,Electrical,336,606522.2
DLR-0013,2024-11-13,Cooling System,62,483424.19
DLR-0013,2024-11-22,Engine Parts,303,510378.84
DLR-0013,2021-08-05,Cooling System,255,736644.65
DLR-0013,2022-06-21,Filters & Fluids,104,372143.58
DLR-0013,2020-04-15,Body Parts,491,594183.99
DLR-0013,2024-10-30,Cooling System,68,448072.43
DLR-0013,2024-08-10,Brakes,215,445052.17
DLR-0013,2022-10-04,Brakes,305,701761.49
DLR-0013,2023-07-13,Engine Parts,87,648456.19
DLR-0013,2020-11-01,Body Parts,53,646134.38
DLR-0013,2021-05-23,Brakes,295,742068.37
DLR-0014,2023-05-26,Suspension,407,1500000.0
DLR-0014,2022-12-06,Transmission,240,1500000.0
DLR-0014,2022-06-25,Body Parts,450,1313839.95
DLR-0014,2023-04-20,Transmission,166,1500000.0
DLR-0014,2023-03-10,Engine Parts,322,1421914.17
DLR-0014,2024-02-24,Brakes,495,1500000.0
DLR-0014,2024-04-11,Suspension,330,1500000.0
DLR-0014,2021-03-08,Body Parts,348,1009067.59
DLR-0014,2020-06-15,Electrical,132,1500000.0
DLR-0014,2020-12-21,Brakes,90,896389.57
DLR-0014,2020-01-06,Transmission,240,771486.83
DLR-0014,2023-11-12,Cooling System,159,1500000.0
DLR-0014,2020-03-07,Suspension,157,1500000.0
DLR-0014,2023-12-18,Body Parts,369,1500000.0
DLR-0014,2024-10-26,Cooling System,46,1500000.0
DLR-0014,2023-11-08,Suspension,483,1492651.94
DLR-0014,2021-06-25,Suspension,227,961647.38
DLR-0014,2020-08-23,Suspension,341,1500000.0
DLR-0014,2020-11-01,Body Parts,433,1093702.97
DLR-0014,2020-10-18,Brakes,40,1500000.0
DLR-0014,2020-12-05,Body Parts,314,1411765.57
DLR-0014,2024-03-13,Body Parts,234,1004701.68
DLR-0014,2020-09-11,Cooling System,362,1307168.5
DLR-0014,2021-09-14,Transmission,492,1500000.0
DLR-0014,2021-07-11,Cooling System,234,1161765.27
DLR-0014,2020-06-13,Engine Parts,465,1006667.76
DLR-0015,2024-02-13,Filters & Fluids,319,535019.01
DLR-0015,2021-05-27,Engine Parts,56,535268.48
DLR-0015,2021-04-13,Engine Parts,401,388646.08
DLR-0015,2023-10-08,Body Parts,305,395647.53
DLR-0015,2020-03-23,Electrical,250,532749.74
DLR-0015,2022-11-28,Cooling System,479,205123.55
DLR-0015,2021-07-23,Electrical,309,213044.56
DLR-0015,2022-06-11,Cooling System,56,347403.38
DLR-0015,2022-08-20,Filters & Fluids,219,445877.81
DLR-0015,2021-11-13,Filters & Fluids,353,548126.98
DLR-0015,2020-08-02,Electrical,178,775194.46
DLR-0015,2022-04-23,Cooling System,157,654743.63
DLR-0015,2023-09-18,Transmission,426,456311.99
DLR-0015,2024-04-06,Engine Parts,242,483791.84
DLR-0015,2020-06-29,Filters & Fluids,139,292006.77
DLR-0015,2021-10-24,Brakes,405,483889.94
DLR-0015,2022-04-07,Engine Parts,346,431211.57
DLR-0015,2024-11-15,Cooling System,221,550430.12
DLR-0015,2020-04-21,Suspension,275,326189.97
DLR-0015,2022-01-10,Cooling System,330,588772.57
DLR-0015,2022-06-24,Engine Parts,114,786384.09
DLR-0015,2021-06-30,Electrical,484,466291.77
DLR-0015,2021-08-12,Cooling System,460,565833.79
DLR-0015,2023-12-01,Cooling System,72,622078.08
DLR-0015,2020-02-29,Suspension,373,409262.01
DLR-0015,2020-11-20,Body Parts,292,531198.03
DLR-0016,2023-02-05,Transmission,57,376888.86
DLR-0016,2021-04-05,Brakes,246,389651.41
DLR-0016,2020-08-28,Electrical,265,259048.53
DLR-0016,2024-01-07,Body Parts,270,378676.53
DLR-0016,2023-12-15,Body Parts,222,449699.74
DLR-0016,2024-09-05,Cooling System,251,592671.54
DLR-0016,2021-05-14,Cooling System,292,518890.62
DLR-0016,2020-10-23,Transmission,107,697977.37
DLR-0016,2023-05-12,Electrical,452,259897.87
DLR-0016,2020-05-22,Body Parts,405,505848.1
DLR-0016,2024-06-05,Transmission,184,402501.3
DLR-0016,2024-06-01,Body Parts,430,703470.44
DLR-0016,2020-01-06,Body Parts,381,253755.26
DLR-0016,2021-09-03,Cooling System,453,249041.72
DLR-0016,2020-10-31,Cooling System,285,285091.1
DLR-0016,2022-09-18,Filters & Fluids,180,56415.64
DLR-0016,2023-02-04,Transmission,243,296136.75
DLR-0016,2021-10-21,Suspension,367,261130.1
DLR-0016,2021-05-04,Transmission,129,397559.07
DLR-0016,2024-10-19,Transmission,32,426263.4
DLR-0017,2024-03-05,Cooling System,371,1050281.0
DLR-0017,2024-07-19,Transmission,207,828101.72
DLR-0017,2023-09-21,Electrical,263,461543.12
DLR-0017,2020-03-16,Electrical,267,384380.48
DLR-0017,2023-04-23,Filters & Fluids,455,718060.6
DLR-0017,2020-07-24,Cooling System,61,283144.03
DLR-0017,2022-12-13,Cooling System,17,1039550.1
DLR-0017,2024-01-19,Electrical,219,883065.63
DLR-0017,2024-11-18,Electrical,48,487397.84
DLR-0017,2022-08-19,Body Parts,183,188847.71
DLR-0017,2023-06-30,Transmission,342,924929.37
DLR-0017,2020-06-13,Filters & Fluids,446,572510.44
DLR-0017,2023-10-13,Transmission,498,897075.91
DLR-0017,2021-10-10,Cooling System,456,217337.36
DLR-0017,2023-01-13,Engine Parts,326,456149.99
DLR-0017,2020-05-20,Suspension,333,601258.49
DLR-0017,2023-11-02,Body Parts,126,611275.34
DLR-0017,2024-03-09,Brakes,232,491984.29
DLR-0017,2020-07-20,Brakes,237,749483.98
DLR-0017,2020-12-06,Body Parts,472,343771.1
DLR-0017,2020-02-29,Engine Parts,176,565828.92
DLR-0017,2024-06-18,Engine Parts,160,628870.95
DLR-0017,2022-01-04,Filters & Fluids,230,723465.32
DLR-0017,2020-10-25,Suspension,281,770787.57
DLR-0017,2022-04-23,Electrical,97,330085.9
DLR-0018,2020-06-10,Transmission,327,579531.5
DLR-0018,2023-10-31,Suspension,264,1500000.0
DLR-0018,2023-04-09,Electrical,128,1500000.0
DLR-0018,2022-08-02,Body Parts,245,1050908.08
DLR-0018,2021-06-06,Engine Parts,470,1500000.0
DLR-0018,2024-07-05,Cooling System,471,1500000.0
DLR-0018,2021-08-12,Electrical,47,1500000.0
DLR-0018,2022-06-23,Filters & Fluids,310,1500000.0
DLR-0018,2021-09-04,Transmission,363,1500000.0
DLR-0018,2021-05-27,Cooling System,442,1500000.0
DLR-0018,2021-09-10,Suspension,206,1350621.51
DLR-0018,2024-10-13,Cooling System,64,1500000.0
DLR-0018,2021-04-30,Transmission,302,1500000.0
DLR-0018,2022-01-05,Body Parts,368,1500000.0
DLR-0018,2021-08-27,Engine Parts,434,921045.92
DLR-0018,2023-09-10,Transmission,150,1500000.0
DLR-0018,2020-01-17,Engine Parts,476,1500000.0
DLR-0018,2023-05-26,Cooling System,436,444756.31
DLR-0018,2021-08-09,Suspension,320,790044.89
DLR-0018,2024-06-30,Filters & Fluids,122,276460.69
DLR-0018,2023-07-27,Suspension,327,1338355.9
DLR-0018,2021-05-28,Electrical,331,1500000.0
DLR-0019,2023-07-09,Engine Parts,168,960565.69
DLR-0019,2024-06-03,Cooling System,27,617782.75
DLR-0019,2023-04-01,Filters & Fluids,384,990867.73
DLR-0019,2020-09-26,Brakes,475,268775.65
DLR-0019,2021-08-27,Filters & Fluids,392,191188.21
DLR-0019,2022-04-30,Electrical,112,586668.55
DLR-0019,2020-09-27,Filters & Fluids,281,692175.71
DLR-0019,2022-10-24,Body Parts,435,592153.26
DLR-0019,2020-12-02,Body Parts,477,103813.9
DLR-0019,2024-08-15,Cooling System,422,578611.19
DLR-0019,2021-08-27,Filters & Fluids,421,286927.32
DLR-0019,2020-08-23,Cooling System,48,760721.41
DLR-0019,2020-10-15,Suspension,450,687983.58
DLR-0019,2023-10-17,Transmission,443,374428.85
DLR-0019,2024-07-05,Filters & Fluids,56,476671.94
DLR-0019,2024-06-07,Transmission,17,345788.75
DLR-0019,2021-06-25,Brakes,242,584957.02
DLR-0019,2022-01-24,Body Parts,309,829234.16
DLR-0019,2022-02-19,Filters & Fluids,65,363425.75
DLR-0019,2023-10-14,Suspension,251,720971.16
DLR-0019,2020-02-21,Filters & Fluids,478,472738.17
DLR-0020,2023-08-19,Brakes,335,563351.97
DLR-0020,2024-08-14,Cooling System,475,789679.98
DLR-0020,2023-12-06,Body Parts,342,483370.03
DLR-0020,2022-04-16,Brakes,81,642295.73
DLR-0020,2020-04-02,Engine Parts,165,429700.3
DLR-0020,2022-10-05,Brakes,59,1473359.29
DLR-0020,2021-04-25,Electrical,208,836636.97
DLR-0020,2022-07-18,Filters & Fluids,353,594090.58
DLR-0020,2024-03-01,Transmission,310,895613.37
DLR-0020,2024-02-29,Electrical,463,787931.74
DLR-0020,2022-04-29,Brakes,436,752080.03
DLR-0020,2022-09-29,Transmission,490,1027675.01
DLR-0020,2021-07-26,Engine Parts,363,1074977.54
DLR-0020,2022-01-28,Suspension,237,649934.62
DLR-0020,2022-06-29,Suspension,447,634979.98
DLR-0020,2022-01-12,Brakes,361,734232.94
DLR-0020,2022-01-22,Filters & Fluids,41,65366.02
DLR-0020,2022-03-26,Body Parts,107,324986.95
DLR-0020,2020-09-07,Cooling System,56,1276068.51
DLR-0020,2023-09-19,Suspension,338,1367839.35
DLR-0020,2023-08-02,Engine Parts,35,742818.11
DLR-0020,2024-05-30,Filters & Fluids,134,1015263.8
DLR-0020,2020-09-14,Suspension,45,927712.55
DLR-0021,2021-02-28,Suspension,426,1338931.39
DLR-0021,2024-11-16,Suspension,178,868697.98
DLR-0021,2024-05-04,Electrical,413,569299.78
DLR-0021,2023-05-05,Engine Parts,151,370670.29
DLR-0021,2024-10-24,Electrical,76,214452.88
DLR-0021,2023-01-11,Body Parts,418,648831.27
DLR-0021,2020-12-23,Brakes,348,418475.82
DLR-0021,2024-11-09,Engine Parts,77,258659.11
DLR-0021,2020-01-31,Filters & Fluids,414,444822.51
DLR-0021,2024-06-02,Suspension,311,340428.48
DLR-0021,2021-10-25,Engine Parts,99,1004913.99
DLR-0021,2021-06-27,Engine Parts,74,811593.54
DLR-0021,2024-02-28,Transmission,279,598086.57
DLR-0021,2020-08-20,Brakes,253,955186.59
DLR-0021,2022-07-07,Filters & Fluids,272,618568.39
DLR-0021,2023-04-30,Brakes,241,393291.79
DLR-0021,2022-10-28,Suspension,494,965549.78
DLR-0021,2023-06-13,Engine Parts,382,729338.41
DLR-0021,2024-05-23,Body Parts,244,351060.92
DLR-0021,2023-08-10,Engine Parts,41,554318.72
DLR-0021,2022-09-07,Transmission,228,389851.62
DLR-0021,2023-11-06,Brakes,261,268128.06
DLR-0021,2023-12-29,Cooling System,47,822282.61
DLR-0021,2020-06-14,Filters & Fluids,321,1058259.99
DLR-0021,2020-10-30,Brakes,74,264343.78
DLR-0021,2021-07-17,Filters & Fluids,205,735112.62
DLR-0021,2023-05-08,Body Parts,242,443845.78
DLR-0021,2022-11-01,Transmission,60,483089.91
DLR-0022,2024-10-12,Suspension,230,371983.18
DLR-0022,2022-07-13,Suspension,221,319021.8
DLR-0022,2021-11-25,Cooling System,214,496961.72
DLR-0022,2022-05-01,Brakes,170,325464.73
