dealer_id,city,sale_date,parts_category,units_sold,revenue_inr
DLR-0004,Chandigarh,2023-01-30,Electrical,145,460000
DLR-0004,Chandigarh,2022-12-16,Filters,118,403000
DLR-0004,Chandigarh,2023-01-09,Suspension,375,312000
DLR-0004,Chandigarh,2021-09-30,Filters,353,403000
DLR-0004,Chandigarh,2023-08-23,Body Parts,234,508000
DLR-0004,Chandigarh,2022-11-25,Tyres & Wheels,71,367000
DLR-0004,Chandigarh,2021-05-22,Suspension,42,511000
DLR-0004,Chandigarh,2021-11-23,Engine Parts,311,134000
DLR-0004,Chandigarh,2023-02-08,Suspension,311,444000
DLR-0004,Chandigarh,2021-03-27,Engine Parts,46,378000
DLR-0004,Chandigarh,2023-12-20,Engine Parts,127,343000
DLR-0004,Chandigarh,2020-05-18,Engine Parts,450,378000
DLR-0004,Chandigarh,2021-11-07,Brakes,273,191000
DLR-0004,Chandigarh,2021-05-02,Transmission,352,350000
DLR-0004,Chandigarh,2022-09-21,Suspension,286,402000
DLR-0004,Chandigarh,2020-09-27,Tyres & Wheels,134,503000
DLR-0004,Chandigarh,2024-05-25,Tyres & Wheels,423,323000
DLR-0004,Chandigarh,2022-04-13,Suspension,58,297000
DLR-0004,Chandigarh,2020-07-17,Filters,191,325000
DLR-0004,Chandigarh,2022-05-17,Filters,249,452000
DLR-0004,Chandigarh,2024-11-04,Engine Parts,354,400000
DLR-0004,Chandigarh,2023-08-31,Brakes,41,322000
DLR-0004,Chandigarh,2022-04-04,Body Parts,419,416000
DLR-0004,Chandigarh,2024-10-30,Brakes,137,379000
DLR-0004,Chandigarh,2021-01-27,Suspension,284,457000
DLR-0004,Chandigarh,2022-07-07,Electrical,226,307000
DLR-0004,Chandigarh,2021-01-10,Transmission,246,341000
DLR-0005,Delhi,2024-11-25,Brakes,236,762000
DLR-0005,Delhi,2024-07-12,Brakes,35,547000
DLR-0005,Delhi,2023-08-28,Engine Parts,57,899000
DLR-0005,Delhi,2024-03-23,Suspension,95,892000
DLR-0005,Delhi,2022-04-12,Tyres & Wheels,256,841000
DLR-0005,Delhi,2021-03-13,Filters,472,793000
DLR-0005,Delhi,2020-04-30,Electrical,204,557000
DLR-0005,Delhi,2020-01-05,Filters,145,756000
DLR-0005,Delhi,2024-05-24,Tyres & Wheels,156,771000
DLR-0005,Delhi,2022-05-16,Tyres & Wheels,89,680000
DLR-0005,Delhi,2021-01-23,Transmission,121,808000
DLR-0005,Delhi,2020-04-29,Engine Parts,392,921000
DLR-0005,Delhi,2021-10-04,Engine Parts,35,1217000
DLR-0005,Delhi,2023-04-11,Tyres & Wheels,267,875000
DLR-0005,Delhi,2024-10-12,Electrical,39,892000
DLR-0005,Delhi,2022-11-06,Brakes,445,825000
DLR-0005,Delhi,2021-01-15,Brakes,314,456000
DLR-0005,Delhi,2020-05-19,Suspension,216,835000
DLR-0005,Delhi,2020-09-02,Suspension,306,852000
DLR-0005,Delhi,2023-05-02,Engine Parts,327,1333000
DLR-0005,Delhi,2020-06-16,Filters,346,802000
DLR-0005,Delhi,2023-04-10,Body Parts,488,900000
DLR-0005,Delhi,2021-06-18,Suspension,352,833000
DLR-0006,Patna,2021-05-03,Transmission,212,358000
DLR-0006,Patna,2020-09-25,Transmission,244,659000
DLR-0006,Patna,2021-10-09,Brakes,14,608000
DLR-0006,Patna,2022-07-27,Brakes,47,613000
DLR-0006,Patna,2023-01-06,Suspension,269,392000
DLR-0006,Patna,2021-06-27,Electrical,487,692000
DLR-0006,Patna,2021-12-15,Brakes,460,328000
DLR-0006,Patna,2021-05-15,Body Parts,155,586000
DLR-0006,Patna,2020-11-19,Tyres & Wheels,436,795000
DLR-0006,Patna,2023-01-17,Transmission,323,381000
DLR-0006,Patna,2024-07-10,Engine Parts,351,436000
DLR-0006,Patna,2024-07-31,Transmission,487,523000
DLR-0006,Patna,2023-09-20,Brakes,490,445000
DLR-0006,Patna,2024-12-03,Electrical,145,308000
DLR-0006,Patna,2020-08-24,Brakes,390,519000
DLR-0006,Patna,2023-02-07,Electrical,149,372000
DLR-0006,Patna,2021-07-31,Suspension,377,572000
DLR-0006,Patna,2021-12-03,Suspension,361,390000
DLR-0006,Patna,2023-07-22,Transmission,268,711000
DLR-0006,Patna,2022-09-27,Transmission,473,408000
DLR-0006,Patna,2024-09-28,Engine Parts,57,468000
DLR-0006,Patna,2023-07-23,Filters,434,616000
DLR-0006,Patna,2021-07-20,Engine Parts,11,350000
DLR-0006,Patna,2021-11-14,Electrical,336,540000
DLR-0006,Patna,2021-06-20,Electrical,389,680000
DLR-0007,Mumbai,2023-02-03,Filters,297,519000
DLR-0007,Mumbai,2020-01-20,Brakes,48,877000
DLR-0007,Mumbai,2024-12-13,Electrical,289,892000
DLR-0007,Mumbai,2020-03-14,Body Parts,308,996000
DLR-0007,Mumbai,2023-02-05,Electrical,230,593000
DLR-0007,Mumbai,2020-09-18,Engine Parts,167,576000
DLR-0007,Mumbai,2022-01-16,Engine Parts,470,944000
DLR-0007,Mumbai,2022-01-02,Suspension,359,899000
DLR-0007,Mumbai,2021-05-26,Brakes,191,890000
DLR-0007,Mumbai,2024-05-16,Filters,327,909000
DLR-0007,Mumbai,2024-03-14,Electrical,483,704000
DLR-0007,Mumbai,2021-04-29,Electrical,419,886000
DLR-0007,Mumbai,2024-07-18,Electrical,461,899000
DLR-0007,Mumbai,2022-04-24,Engine Parts,101,697000
DLR-0007,Mumbai,2024-02-17,Body Parts,410,1213000
DLR-0007,Mumbai,2022-04-23,Suspension,146,935000
DLR-0007,Mumbai,2020-11-22,Brakes,205,602000
DLR-0007,Mumbai,2024-11-21,Engine Parts,449,971000
DLR-0007,Mumbai,2022-08-21,Suspension,112,645000
DLR-0007,Mumbai,2024-07-30,Tyres & Wheels,189,997000
DLR-0007,Mumbai,2021-09-17,Suspension,124,1072000
DLR-0007,Mumbai,2020-02-18,Suspension,214,676000
DLR-0007,Mumbai,2021-11-03,Transmission,452,1033000
DLR-0007,Mumbai,2020-05-22,Transmission,189,923000
DLR-0007,Mumbai,2023-08-06,Filters,357,1004000
DLR-0007,Mumbai,2024-09-23,Body Parts,490,1219000
DLR-0007,Mumbai,2020-02-26,Brakes,459,791000
DLR-0008,Kolkata,2020-12-31,Transmission,29,689000
DLR-0008,Kolkata,2020-08-10,Filters,186,662000
DLR-0008,Kolkata,2024-02-01,Body Parts,233,677000
DLR-0008,Kolkata,2023-05-26,Brakes,207,825000
DLR-0008,Kolkata,2023-03-26,Suspension,140,908000
DLR-0008,Kolkata,2020-03-31,Filters,10,895000
DLR-0008,Kolkata,2022-11-30,Suspension,196,1005000
DLR-0008,Kolkata,2022-06-02,Brakes,495,843000
DLR-0008,Kolkata,2023-09-22,Body Parts,329,1131000
DLR-0008,Kolkata,2021-10-04,Brakes,378,787000
DLR-0008,Kolkata,2021-09-07,Transmission,351,1384000
DLR-0008,Kolkata,2022-04-16,Body Parts,216,965000
DLR-0008,Kolkata,2023-11-28,Transmission,293,669000
DLR-0008,Kolkata,2020-09-17,Suspension,225,626000
DLR-0008,Kolkata,2023-09-23,Filters,356,936000
DLR-0008,Kolkata,2024-03-12,Electrical,325,795000
DLR-0008,Kolkata,2023-03-11,Transmission,217,983000
DLR-0008,Kolkata,2023-01-27,Engine Parts,165,935000
DLR-0008,Kolkata,2021-08-10,Suspension,230,825000
DLR-0008,Kolkata,2024-05-28,Body Parts,248,671000
DLR-0008,Kolkata,2022-06-23,Tyres & Wheels,355,537000
DLR-0008,Kolkata,2021-03-13,Tyres & Wheels,416,751000
DLR-0008,Kolkata,2024-06-18,Electrical,347,1011000
DLR-0008,Kolkata,2020-06-22,Transmission,273,883000
DLR-0009,Pune,2020-07-10,Suspension,354,591000
DLR-0009,Pune,2021-09-27,Suspension,422,875000
DLR-0009,Pune,2021-02-11,Electrical,22,917000
DLR-0009,Pune,2020-04-04,Suspension,253,663000
DLR-0009,Pune,2023-06-05,Brakes,243,871000
DLR-0009,Pune,2022-04-28,Suspension,377,852000
DLR-0009,Pune,2023-11-27,Filters,263,611000
DLR-0009,Pune,2022-03-29,Suspension,85,912000
DLR-0009,Pune,2023-09-05,Engine Parts,467,952000
DLR-0009,Pune,2024-03-17,Brakes,408,1057000
DLR-0009,Pune,2022-05-20,Suspension,100,1051000
DLR-0009,Pune,2024-07-04,Tyres & Wheels,35,564000
DLR-0009,Pune,2023-02-15,Suspension,479,652000
DLR-0009,Pune,2024-10-03,Brakes,243,943000
DLR-0009,Pune,2020-09-30,Tyres & Wheels,351,943000
DLR-0009,Pune,2022-12-23,Body Parts,496,943000
DLR-0009,Pune,2024-03-26,Tyres & Wheels,323,1611000
DLR-0009,Pune,2024-07-27,Filters,435,954000
DLR-0009,Pune,2023-01-27,Tyres & Wheels,469,1067000
DLR-0009,Pune,2020-11-21,Tyres & Wheels,240,1031000
DLR-0009,Pune,2021-06-14,Suspension,440,970000
DLR-0009,Pune,2023-07-29,Transmission,402,777000
DLR-0009,Pune,2024-05-11,Tyres & Wheels,330,992000
DLR-0009,Pune,2021-05-04,Transmission,235,685000
DLR-0009,Pune,2020-06-07,Transmission,130,793000
DLR-0010,Guwahati,2021-11-18,Body Parts,467,326000
DLR-0010,Guwahati,2023-01-11,Brakes,80,377000
DLR-0010,Guwahati,2020-11-04,Suspension,206,578000
DLR-0010,Guwahati,2023-11-22,Electrical,371,202000
DLR-0010,Guwahati,2021-03-14,Brakes,222,432000
DLR-0010,Guwahati,2022-04-14,Body Parts,287,225000
DLR-0010,Guwahati,2022-08-12,Filters,41,328000
DLR-0010,Guwahati,2021-02-27,Filters,209,468000
DLR-0010,Guwahati,2024-04-25,Engine Parts,448,376000
DLR-0010,Guwahati,2024-12-08,Filters,254,273000
DLR-0010,Guwahati,2020-01-13,Body Parts,162,306000
DLR-0010,Guwahati,2024-03-23,Filters,446,431000
DLR-0010,Guwahati,2024-12-31,Filters,285,304000
DLR-0010,Guwahati,2024-03-10,Suspension,259,389000
DLR-0010,Guwahati,2021-03-25,Transmission,233,374000
DLR-0010,Guwahati,2022-09-21,Engine Parts,209,311000
DLR-0010,Guwahati,2021-11-19,Filters,380,563000
DLR-0010,Guwahati,2020-12-04,Tyres & Wheels,480,427000
DLR-0010,Guwahati,2020-09-18,Engine Parts,474,188000
DLR-0010,Guwahati,2022-03-17,Engine Parts,52,387000
DLR-0010,Guwahati,2023-08-09,Filters,79,310000
DLR-0010,Guwahati,2024-11-10,Tyres & Wheels,103,447000
DLR-0010,Guwahati,2020-04-12,Transmission,204,299000
DLR-0010,Guwahati,2021-11-01,Suspension,242,360000
DLR-0011,Mumbai,2021-11-22,Filters,152,941000
DLR-0011,Mumbai,2024-03-20,Filters,139,1013000
DLR-0011,Mumbai,2024-09-05,Brakes,250,600000
DLR-0011,Mumbai,2020-02-09,Engine Parts,497,773000
DLR-0011,Mumbai,2021-12-17,Suspension,342,745000
DLR-0011,Mumbai,2020-05-20,Engine Parts,396,709000
DLR-0011,Mumbai,2020-03-04,Suspension,112,1193000
DLR-0011,Mumbai,2024-09-14,Engine Parts,328,921000
DLR-0011,Mumbai,2020-11-08,Suspension,74,588000
DLR-0011,Mumbai,2022-08-27,Brakes,298,1024000
DLR-0011,Mumbai,2021-03-22,Tyres & Wheels,368,1264000
DLR-0011,Mumbai,2021-06-08,Body Parts,95,1046000
DLR-0011,Mumbai,2023-05-25,Brakes,408,536000
DLR-0011,Mumbai,2024-08-04,Electrical,169,743000
DLR-0011,Mumbai,2020-08-09,Engine Parts,485,1093000
DLR-0011,Mumbai,2021-09-30,Filters,213,698000
DLR-0011,Mumbai,2024-01-04,Suspension,48,929000
DLR-0011,Mumbai,2023-04-27,Suspension,62,995000
DLR-0011,Mumbai,2023-11-28,Transmission,445,655000
DLR-0011,Mumbai,2023-11-02,Brakes,417,828000
DLR-0011,Mumbai,2023-03-05,Engine Parts,187,192000
DLR-0011,Mumbai,2022-12-27,Filters,348,635000
DLR-0011,Mumbai,2022-01-28,Brakes,269,789000
DLR-0011,Mumbai,2023-08-19,Body Parts,16,590000
DLR-0011,Mumbai,2024-10-05,Filters,431,1166000
DLR-0012,Kolkata,2020-08-04,Filters,195,554000
DLR-0012,Kolkata,2023-07-25,Tyres & Wheels,372,752000
DLR-0012,Kolkata,2020-11-09,Filters,100,866000
DLR-0012,Kolkata,2024-02-11,Transmission,325,1128000
DLR-0012,Kolkata,2024-07-13,Tyres & Wheels,248,553000
DLR-0012,Kolkata,2022-06-11,Transmission,175,1073000
DLR-0012,Kolkata,2024-10-10,Suspension,435,842000
DLR-0012,Kolkata,2020-06-26,Transmission,461,644000
DLR-0012,Kolkata,2022-07-12,Suspension,394,932000
DLR-0012,Kolkata,2022-08-09,Filters,182,880000
DLR-0012,Kolkata,2020-02-28,Tyres & Wheels,445,720000
DLR-0012,Kolkata,2021-10-27,Electrical,259,854000
DLR-0012,Kolkata,2021-03-10,Body Parts,418,763000
DLR-0012,Kolkata,2021-06-13,Body Parts,153,863000
DLR-0012,Kolkata,2024-12-07,Transmission,294,972000
DLR-0012,Kolkata,2020-01-21,Suspension,53,1157000
DLR-0012,Kolkata,2021-05-09,Filters,260,592000
DLR-0012,Kolkata,2023-02-11,Suspension,363,1267000
DLR-0012,Kolkata,2022-09-02,Tyres & Wheels,239,450000
DLR-0012,Kolkata,2024-06-11,Engine Parts,57,810000
DLR-0012,Kolkata,2021-08-25,Suspension,217,958000
DLR-0012,Kolkata,2023-11-17,Suspension,166,896000
DLR-0012,Kolkata,2023-09-21,Body Parts,252,715000
DLR-0012,Kolkata,2023-02-07,Body Parts,227,798000
DLR-0012,Kolkata,2024-03-07,Body Parts,190,741000
DLR-0012,Kolkata,2023-12-10,Tyres & Wheels,148,722000
DLR-0012,Kolkata,2021-09-19,Transmission,128,1010000
DLR-0013,Surat,2024-01-17,Suspension,171,911000
DLR-0013,Surat,2020-09-01,Electrical,108,701000
DLR-0013,Surat,2021-03-19,Tyres & Wheels,151,1020000
DLR-0013,Surat,2024-01-23,Transmission,61,901000
DLR-0013,Surat,2024-09-01,Suspension,161,1003000
DLR-0013,Surat,2021-04-10,Body Parts,101,966000
DLR-0013,Surat,2021-09-11,Engine Parts,372,674000
DLR-0013,Surat,2022-12-29,Electrical,150,728000
DLR-0013,Surat,2020-04-03,Engine Parts,293,989000
DLR-0013,Surat,2021-08-21,Electrical,336,962000
DLR-0013,Surat,2024-11-13,Tyres & Wheels,62,836000
DLR-0013,Surat,2024-11-22,Engine Parts,303,863000
DLR-0013,Surat,2021-08-05,Tyres & Wheels,255,1096000
DLR-0013,Surat,2022-06-21,Body Parts,104,722000
DLR-0013,Surat,2020-04-15,Transmission,491,949000
DLR-0013,Surat,2024-10-30,Tyres & Wheels,68,800000
DLR-0013,Surat,2024-08-10,Brakes,215,796000
DLR-0013,Surat,2022-10-04,Brakes,305,1060000
DLR-0013,Surat,2023-07-13,Engine Parts,87,1005000
DLR-0013,Surat,2020-11-01,Transmission,53,1003000
DLR-0013,Surat,2021-05-23,Brakes,295,1101000
DLR-0014,Pune,2023-05-26,Suspension,407,844000
DLR-0014,Pune,2022-12-06,Filters,240,976000
DLR-0014,Pune,2022-06-25,Transmission,450,778000
DLR-0014,Pune,2023-04-20,Filters,166,905000
DLR-0014,Pune,2023-03-10,Engine Parts,322,814000
DLR-0014,Pune,2024-02-24,Brakes,495,859000
DLR-0014,Pune,2024-04-11,Suspension,330,959000
DLR-0014,Pune,2021-03-08,Transmission,348,676000
DLR-0014,Pune,2020-06-15,Electrical,132,1258000
DLR-0014,Pune,2020-12-21,Brakes,90,639000
DLR-0014,Pune,2020-01-06,Filters,240,597000
DLR-0014,Pune,2023-11-12,Tyres & Wheels,159,1072000
DLR-0014,Pune,2020-03-07,Suspension,157,998000
DLR-0014,Pune,2023-12-18,Transmission,369,965000
DLR-0014,Pune,2024-10-26,Tyres & Wheels,46,966000
DLR-0014,Pune,2023-11-08,Suspension,483,838000
DLR-0014,Pune,2021-06-25,Suspension,227,661000
DLR-0014,Pune,2020-08-23,Suspension,341,855000
DLR-0014,Pune,2020-11-01,Transmission,433,705000
DLR-0014,Pune,2020-10-18,Brakes,40,1035000
DLR-0014,Pune,2020-12-05,Transmission,314,811000
DLR-0014,Pune,2024-03-13,Transmission,234,675000
DLR-0014,Pune,2020-09-11,Tyres & Wheels,362,776000
DLR-0014,Pune,2021-09-14,Filters,492,923000
DLR-0014,Pune,2021-07-11,Tyres & Wheels,234,727000
DLR-0014,Pune,2020-06-13,Engine Parts,465,676000
DLR-0015,Kolkata,2024-02-13,Body Parts,319,889000
DLR-0015,Kolkata,2021-05-27,Engine Parts,56,889000
DLR-0015,Kolkata,2021-04-13,Engine Parts,401,739000
DLR-0015,Kolkata,2023-10-08,Transmission,305,746000
DLR-0015,Kolkata,2020-03-23,Electrical,250,886000
DLR-0015,Kolkata,2022-11-28,Tyres & Wheels,479,550000
DLR-0015,Kolkata,2021-07-23,Electrical,309,559000
DLR-0015,Kolkata,2022-06-11,Tyres & Wheels,56,696000
DLR-0015,Kolkata,2022-08-20,Body Parts,219,797000
DLR-0015,Kolkata,2021-11-13,Body Parts,353,902000
DLR-0015,Kolkata,2020-08-02,Electrical,178,1135000
DLR-0015,Kolkata,2022-04-23,Tyres & Wheels,157,1012000
DLR-0015,Kolkata,2023-09-18,Filters,426,808000
DLR-0015,Kolkata,2024-04-06,Engine Parts,242,836000
DLR-0015,Kolkata,2020-06-29,Body Parts,139,639000
DLR-0015,Kolkata,2021-10-24,Brakes,405,836000
DLR-0015,Kolkata,2022-04-07,Engine Parts,346,782000
DLR-0015,Kolkata,2024-11-15,Tyres & Wheels,221,905000
DLR-0015,Kolkata,2020-04-21,Suspension,275,675000
DLR-0015,Kolkata,2022-01-10,Tyres & Wheels,330,944000
DLR-0015,Kolkata,2022-06-24,Engine Parts,114,1147000
DLR-0015,Kolkata,2021-06-30,Electrical,484,818000
DLR-0015,Kolkata,2021-08-12,Tyres & Wheels,460,920000
DLR-0015,Kolkata,2023-12-01,Tyres & Wheels,72,978000
DLR-0015,Kolkata,2020-02-29,Suspension,373,760000
DLR-0015,Kolkata,2020-11-20,Transmission,292,885000
DLR-0016,Chandigarh,2023-02-05,Filters,57,371000
DLR-0016,Chandigarh,2021-04-05,Brakes,246,379000
DLR-0016,Chandigarh,2020-08-28,Electrical,265,300000
DLR-0016,Chandigarh,2024-01-07,Transmission,270,372000
DLR-0016,Chandigarh,2023-12-15,Transmission,222,415000
DLR-0016,Chandigarh,2024-09-05,Tyres & Wheels,251,501000
DLR-0016,Chandigarh,2021-05-14,Tyres & Wheels,292,456000
DLR-0016,Chandigarh,2020-10-23,Filters,107,564000
DLR-0016,Chandigarh,2023-05-12,Electrical,452,301000
DLR-0016,Chandigarh,2020-05-22,Transmission,405,449000
DLR-0016,Chandigarh,2024-06-05,Filters,184,387000
DLR-0016,Chandigarh,2024-06-01,Transmission,430,567000
DLR-0016,Chandigarh,2020-01-06,Transmission,381,297000
DLR-0016,Chandigarh,2021-09-03,Tyres & Wheels,453,294000
DLR-0016,Chandigarh,2020-10-31,Tyres & Wheels,285,316000
DLR-0016,Chandigarh,2022-09-18,Body Parts,180,179000
DLR-0016,Chandigarh,2023-02-04,Filters,243,323000
DLR-0016,Chandigarh,2021-10-21,Suspension,367,302000
DLR-0016,Chandigarh,2021-05-04,Filters,129,384000
DLR-0016,Chandigarh,2024-10-19,Filters,32,401000
DLR-0017,Bengaluru,2024-03-05,Tyres & Wheels,371,1215000
DLR-0017,Bengaluru,2024-07-19,Filters,207,1030000
DLR-0017,Bengaluru,2023-09-21,Electrical,263,725000
DLR-0017,Bengaluru,2020-03-16,Electrical,267,660000
DLR-0017,Bengaluru,2023-04-23,Body Parts,455,938000
DLR-0017,Bengaluru,2020-07-24,Tyres & Wheels,61,576000
DLR-0017,Bengaluru,2022-12-13,Tyres & Wheels,17,1206000
DLR-0017,Bengaluru,2024-01-19,Electrical,219,1076000
DLR-0017,Bengaluru,2024-11-18,Electrical,48,746000
DLR-0017,Bengaluru,2022-08-19,Transmission,183,497000
DLR-0017,Bengaluru,2023-06-30,Filters,342,1111000
DLR-0017,Bengaluru,2020-06-13,Body Parts,446,817000
DLR-0017,Bengaluru,2023-10-13,Filters,498,1088000
DLR-0017,Bengaluru,2021-10-10,Tyres & Wheels,456,521000
DLR-0017,Bengaluru,2023-01-13,Engine Parts,326,720000
DLR-0017,Bengaluru,2020-05-20,Suspension,333,841000
DLR-0017,Bengaluru,2023-11-02,Transmission,126,849000
DLR-0017,Bengaluru,2024-03-09,Brakes,232,750000
DLR-0017,Bengaluru,2020-07-20,Brakes,237,965000
DLR-0017,Bengaluru,2020-12-06,Transmission,472,626000
DLR-0017,Bengaluru,2020-02-29,Engine Parts,176,812000
DLR-0017,Bengaluru,2024-06-18,Engine Parts,160,864000
DLR-0017,Bengaluru,2022-01-04,Body Parts,230,943000
DLR-0017,Bengaluru,2020-10-25,Suspension,281,982000
DLR-0017,Bengaluru,2022-04-23,Electrical,97,615000
DLR-0018,Kolkata,2020-06-10,Filters,327,533000
DLR-0018,Kolkata,2023-10-31,Suspension,264,1096000
DLR-0018,Kolkata,2023-04-09,Electrical,128,906000
DLR-0018,Kolkata,2022-08-02,Transmission,245,690000
DLR-0018,Kolkata,2021-06-06,Engine Parts,470,1150000
DLR-0018,Kolkata,2024-07-05,Tyres & Wheels,471,863000
DLR-0018,Kolkata,2021-08-12,Electrical,47,1076000
DLR-0018,Kolkata,2022-06-23,Body Parts,310,854000
DLR-0018,Kolkata,2021-09-04,Filters,363,1252000
DLR-0018,Kolkata,2021-05-27,Tyres & Wheels,442,1191000
DLR-0018,Kolkata,2021-09-10,Suspension,206,790000
DLR-0018,Kolkata,2024-10-13,Tyres & Wheels,64,1034000
DLR-0018,Kolkata,2021-04-30,Filters,302,969000
DLR-0018,Kolkata,2022-01-05,Transmission,368,1114000
DLR-0018,Kolkata,2021-08-27,Engine Parts,434,647000
DLR-0018,Kolkata,2023-09-10,Filters,150,977000
DLR-0018,Kolkata,2020-01-17,Engine Parts,476,1052000
DLR-0018,Kolkata,2023-05-26,Tyres & Wheels,436,488000
DLR-0018,Kolkata,2021-08-09,Suspension,320,603000
DLR-0018,Kolkata,2024-06-30,Body Parts,122,432000
DLR-0018,Kolkata,2023-07-27,Suspension,327,786000
DLR-0018,Kolkata,2021-05-28,Electrical,331,984000
DLR-0019,Jaipur,2023-07-09,Engine Parts,168,1140000
DLR-0019,Jaipur,2024-06-03,Tyres & Wheels,27,855000
DLR-0019,Jaipur,2023-04-01,Body Parts,384,1166000
DLR-0019,Jaipur,2020-09-26,Brakes,475,564000
DLR-0019,Jaipur,2021-08-27,Body Parts,392,499000
DLR-0019,Jaipur,2022-04-30,Electrical,112,829000
DLR-0019,Jaipur,2020-09-27,Body Parts,281,917000
DLR-0019,Jaipur,2022-10-24,Transmission,435,833000
DLR-0019,Jaipur,2020-12-02,Transmission,477,427000
DLR-0019,Jaipur,2024-08-15,Tyres & Wheels,422,822000
DLR-0019,Jaipur,2021-08-27,Body Parts,421,579000
DLR-0019,Jaipur,2020-08-23,Tyres & Wheels,48,974000
DLR-0019,Jaipur,2020-10-15,Suspension,450,913000
DLR-0019,Jaipur,2023-10-17,Filters,443,652000
DLR-0019,Jaipur,2024-07-05,Body Parts,56,737000
DLR-0019,Jaipur,2024-06-07,Filters,17,628000
DLR-0019,Jaipur,2021-06-25,Brakes,242,827000
DLR-0019,Jaipur,2022-01-24,Transmission,309,1031000
DLR-0019,Jaipur,2022-02-19,Body Parts,65,643000
DLR-0019,Jaipur,2023-10-14,Suspension,251,941000
